[05Mar2025 00:00:32.824] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Saniago23 moved wrongly!
[05Mar2025 00:00:33.040] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Camaila04 moved wrongly!
[05Mar2025 00:02:23.346] [pool-9-thread-1/INFO] [Supplementaries/]: Searching for closest structure among [ResourceKey[minecraft:worldgen/structure / minecraft:village_snowy], ResourceKey[minecraft:worldgen/structure / minecraft:village_plains], ResourceKey[minecraft:worldgen/structure / minecraft:village_desert], ResourceKey[minecraft:worldgen/structure / minecraft:village_taiga], ResourceKey[minecraft:worldgen/structure / minecraft:village_savanna]] from pos BlockPos{x=411, y=91, z=3141}
[05Mar2025 00:02:53.278] [Worker-Main-89/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=202, y=47, z=211}
[05Mar2025 00:12:10.400] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Airship (vehicle of Saniago23) moved wrongly! 0.27493613442955933
[05Mar2025 00:12:17.023] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Saniago23 moved wrongly!
[05Mar2025 00:12:19.671] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Camaila04 moved wrongly!
[05Mar2025 00:12:46.949] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=7, y=79, z=-14}
[05Mar2025 00:12:47.122] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=7, y=78, z=-14}
[05Mar2025 00:13:17.844] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: bryanc2613 moved wrongly!
[05Mar2025 00:13:22.872] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Camaila04 moved wrongly!
[05Mar2025 00:13:26.925] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: bryanc2613 moved wrongly!
[05Mar2025 00:14:24.772] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=74, z=-8}
[05Mar2025 00:14:25.137] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=14, y=74, z=-10}
[05Mar2025 00:14:25.321] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=962, y=67, z=6444} BlockPos{x=14, y=74, z=-10}
[05Mar2025 00:14:26.422] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=14, y=74, z=-9}
[05Mar2025 00:14:26.822] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=962, y=67, z=6444} BlockPos{x=14, y=74, z=-11}
[05Mar2025 00:14:26.871] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=962, y=67, z=6444} BlockPos{x=14, y=74, z=-11}
[05Mar2025 00:14:27.074] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=962, y=67, z=6444} BlockPos{x=14, y=74, z=-10}
[05Mar2025 00:14:27.122] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=962, y=67, z=6444} BlockPos{x=14, y=74, z=-10}
[05Mar2025 00:14:27.178] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=962, y=67, z=6444} BlockPos{x=14, y=74, z=-9}
[05Mar2025 00:14:27.221] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=962, y=67, z=6444} BlockPos{x=14, y=74, z=-9}
[05Mar2025 00:14:27.572] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=14, y=74, z=-9}
[05Mar2025 00:14:28.122] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:14:38.073] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=962, y=67, z=6444} BlockPos{x=13, y=76, z=-8}
[05Mar2025 00:14:38.772] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=74, z=-9}
[05Mar2025 00:14:41.477] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=962, y=67, z=6444} BlockPos{x=13, y=76, z=-8}
[05Mar2025 00:14:42.122] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=12, y=74, z=-12}
[05Mar2025 00:14:47.287] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:14:48.386] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=14, y=74, z=-10}
